"","1","2","3","4","5","6","7","8","9","10"
"2730",0.107142857142857,0.107142857142857,0.0892857142857143,0.0892857142857143,0.125,0.0892857142857143,0.0892857142857143,0.107142857142857,0.0892857142857143,0.107142857142857
"10558",0.103448275862069,0.103448275862069,0.0862068965517241,0.0862068965517241,0.103448275862069,0.120689655172414,0.103448275862069,0.120689655172414,0.0862068965517241,0.0862068965517241
"12074",0.0943396226415094,0.0943396226415094,0.113207547169811,0.0943396226415094,0.113207547169811,0.0943396226415094,0.0943396226415094,0.113207547169811,0.0943396226415094,0.0943396226415094
"13224",0.0925925925925926,0.111111111111111,0.0925925925925926,0.111111111111111,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.12962962962963
"4580",0.0909090909090909,0.109090909090909,0.0909090909090909,0.127272727272727,0.0909090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909
"11117",0.127272727272727,0.109090909090909,0.0909090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909
"11587",0.0943396226415094,0.0943396226415094,0.113207547169811,0.113207547169811,0.0943396226415094,0.0943396226415094,0.113207547169811,0.0943396226415094,0.0943396226415094,0.0943396226415094
"13167",0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.134615384615385,0.0961538461538462,0.0961538461538462
"9821",0.103448275862069,0.103448275862069,0.103448275862069,0.137931034482759,0.0862068965517241,0.103448275862069,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.103448275862069
"1091",0.0769230769230769,0.0923076923076923,0.0769230769230769,0.0769230769230769,0.107692307692308,0.138461538461538,0.0923076923076923,0.0923076923076923,0.107692307692308,0.138461538461538
"11269",0.103448275862069,0.0862068965517241,0.0862068965517241,0.120689655172414,0.103448275862069,0.0862068965517241,0.103448275862069,0.0862068965517241,0.103448275862069,0.120689655172414
"8302",0.109090909090909,0.0909090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.127272727272727,0.0909090909090909,0.109090909090909,0.0909090909090909
"1357",0.0757575757575758,0.0909090909090909,0.0757575757575758,0.0757575757575758,0.106060606060606,0.106060606060606,0.106060606060606,0.121212121212121,0.0757575757575758,0.166666666666667
"5943",0.137931034482759,0.0862068965517241,0.103448275862069,0.0862068965517241,0.103448275862069,0.0862068965517241,0.0862068965517241,0.103448275862069,0.0862068965517241,0.120689655172414
"6215",0.0862068965517241,0.155172413793103,0.0862068965517241,0.103448275862069,0.0862068965517241,0.103448275862069,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.120689655172414
"8762",0.0961538461538462,0.0961538461538462,0.115384615384615,0.115384615384615,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462
"2329",0.0862068965517241,0.103448275862069,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.120689655172414,0.0862068965517241,0.120689655172414,0.137931034482759
"785",0.0923076923076923,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.138461538461538,0.123076923076923,0.0923076923076923,0.0923076923076923,0.153846153846154,0.0769230769230769
"11584",0.145454545454545,0.109090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
"488",0.0714285714285714,0.0857142857142857,0.0714285714285714,0.157142857142857,0.1,0.1,0.0714285714285714,0.128571428571429,0.114285714285714,0.1
"8139",0.078125,0.078125,0.09375,0.125,0.078125,0.09375,0.09375,0.15625,0.078125,0.125
"12176",0.0980392156862745,0.0980392156862745,0.0980392156862745,0.117647058823529,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745
"11701",0.109090909090909,0.109090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.127272727272727,0.0909090909090909
"4442",0.103448275862069,0.103448275862069,0.0862068965517241,0.137931034482759,0.0862068965517241,0.0862068965517241,0.137931034482759,0.0862068965517241,0.0862068965517241,0.0862068965517241
"10164",0.101694915254237,0.101694915254237,0.0847457627118644,0.101694915254237,0.101694915254237,0.101694915254237,0.0847457627118644,0.0847457627118644,0.11864406779661,0.11864406779661
"102",0.0886075949367089,0.10126582278481,0.10126582278481,0.113924050632911,0.0759493670886076,0.0886075949367089,0.0886075949367089,0.139240506329114,0.0886075949367089,0.113924050632911
"5219",0.115384615384615,0.115384615384615,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462
"4364",0.0980392156862745,0.0980392156862745,0.0980392156862745,0.117647058823529,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745
"7874",0.0869565217391304,0.072463768115942,0.0869565217391304,0.072463768115942,0.144927536231884,0.0869565217391304,0.0869565217391304,0.115942028985507,0.159420289855072,0.0869565217391304
"8607",0.087719298245614,0.087719298245614,0.087719298245614,0.087719298245614,0.12280701754386,0.087719298245614,0.087719298245614,0.087719298245614,0.087719298245614,0.175438596491228
"10620",0.115384615384615,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.115384615384615,0.0961538461538462,0.0961538461538462
"3920",0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.117647058823529,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745
