"","Bluetooth connectivity","Worth the Money","Bad Performance","Excellent Performance","Good Performance","Ergonomics","Product Durability","Clarity","Bass Quality","Regret Purchase","After-sales Service","Brands","Battery"
"2730",0.0686813186813187,0.104395604395604,0.0686813186813187,0.0686813186813187,0.0686813186813187,0.0686813186813187,0.0686813186813187,0.0865384615384616,0.0865384615384616,0.0686813186813187,0.104395604395604,0.0686813186813187,0.0686813186813187
"10558",0.0663129973474801,0.0835543766578249,0.0835543766578249,0.0835543766578249,0.0663129973474801,0.0835543766578249,0.0835543766578249,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0835543766578249,0.0663129973474801,0.0835543766578249
"12074",0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0914368650217707,0.110304789550073,0.0725689404934688,0.0725689404934688
"13224",0.0712250712250712,0.0712250712250712,0.0897435897435898,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.108262108262108,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0897435897435898
"4580",0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.106293706293706,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699
"11117",0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.106293706293706,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699
"11587",0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0914368650217707,0.110304789550073,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688
"13167",0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.112426035502959,0.0739644970414201,0.0739644970414201
"9821",0.0835543766578249,0.0835543766578249,0.0835543766578249,0.0663129973474801,0.10079575596817,0.0663129973474801,0.0663129973474801,0.0663129973474801,0.118037135278515,0.0663129973474801,0.0663129973474801,0.0663129973474801,0.0663129973474801
"1091",0.0591715976331361,0.0591715976331361,0.0745562130177515,0.0591715976331361,0.105325443786982,0.0745562130177515,0.0591715976331361,0.0591715976331361,0.105325443786982,0.0745562130177515,0.105325443786982,0.105325443786982,0.0591715976331361
"11269",0.0663129973474801,0.0663129973474801,0.0663129973474801,0.0663129973474801,0.118037135278515,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0835543766578249,0.0835543766578249,0.0663129973474801,0.0835543766578249,0.0835543766578249
"8302",0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0881118881118881,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0699300699300699
"1357",0.0734265734265734,0.0582750582750583,0.0582750582750583,0.0885780885780886,0.0885780885780886,0.103729603729604,0.0582750582750583,0.0582750582750583,0.0582750582750583,0.0734265734265734,0.103729603729604,0.118881118881119,0.0582750582750583
"5943",0.0663129973474801,0.10079575596817,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0835543766578249,0.0835543766578249,0.10079575596817,0.0663129973474801,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0663129973474801
"6215",0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0663129973474801,0.0835543766578249,0.0835543766578249,0.10079575596817,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0663129973474801,0.10079575596817,0.0663129973474801
"8762",0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201
"2329",0.0663129973474801,0.0663129973474801,0.0663129973474801,0.10079575596817,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0663129973474801,0.0835543766578249,0.0663129973474801,0.10079575596817,0.0835543766578249,0.0835543766578249
"785",0.0591715976331361,0.0591715976331361,0.0591715976331361,0.0899408284023669,0.105325443786982,0.0591715976331361,0.0899408284023669,0.0591715976331361,0.0591715976331361,0.0591715976331361,0.0591715976331361,0.0591715976331361,0.182248520710059
"11584",0.0699300699300699,0.106293706293706,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.106293706293706,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699
"488",0.0692307692307692,0.0549450549450549,0.0978021978021978,0.126373626373626,0.0692307692307692,0.0549450549450549,0.0549450549450549,0.0692307692307692,0.0835164835164835,0.0835164835164835,0.0835164835164835,0.0692307692307692,0.0835164835164835
"8139",0.0600961538461538,0.0757211538461539,0.106971153846154,0.0757211538461539,0.0600961538461538,0.0757211538461539,0.0600961538461538,0.0757211538461539,0.0757211538461539,0.0600961538461538,0.122596153846154,0.0913461538461539,0.0600961538461538
"12176",0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0950226244343891,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342
"11701",0.0699300699300699,0.106293706293706,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0881118881118881,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699
"4442",0.0663129973474801,0.10079575596817,0.0663129973474801,0.0663129973474801,0.118037135278515,0.0663129973474801,0.0663129973474801,0.10079575596817,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0663129973474801,0.0663129973474801
"10164",0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0990873533246415,0.0990873533246415,0.0990873533246415,0.0651890482398957,0.0821382007822686,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0990873533246415
"102",0.0993184031158715,0.0866601752677702,0.124634858812074,0.0486854917234664,0.0866601752677702,0.0486854917234664,0.074001947419669,0.0486854917234664,0.074001947419669,0.0866601752677702,0.0866601752677702,0.0866601752677702,0.0486854917234664
